Explore AI Safety,Leaf Courses,tech,Learn,5 weeks,Online,"How can you steer cutting-edge AI technology toward benefits for humanity? Five hours per week with outstanding young people, all seeking to apply their talents and interests for good!",Open to all high-schoolers,Global,2026-10-01,https://leaf.courses/,,
Biology for a Better Tomorrow,Leaf Courses,Biology,Learn,5 weeks,Online,"How you can use biology to best help others and improve the future, from morally-motivated medicine to revolutionary research? Five hours per week with outstanding young people, all seeking to apply their talents and interests for good!",Open to all high-schoolers,Global,2026-10-01,https://leaf.courses/,,
Power Policy and Progress,Leaf Courses,Politics,Learn,5 weeks,Online,"How you can use the lessons of history, politics, economics, and law to make a positive impact and steer humanity onto a better path? Five hours per week with outstanding young people, all seeking to apply their talents and interests for good!",Open to all high-schoolers,Global,2026-10-01,https://leaf.courses/,,
The Mathematics of Morality,Leaf Courses,Maths,Learn,5 weeks,Online,"How you can use mathematics and quantitative careers to best help others and multiply your positive impact? Five hours per week with outstanding young people, all seeking to apply their talents and interests for good!",Open to all high-schoolers,Global,2026-10-01,https://leaf.courses/,,
Bento,Hack Club,creative,Make,1 weekend,Online,"Design and code a creative website laid out like a traditional Japanese bento box, and Hack Club will ship a real sushi dinner to your door.",Open to all high-schoolers,Global,2026-10-14,https://bento.hackclub.com,yes,https://images.unsplash.com/photo-1579871494447-9811cf80d66c?auto=format&fit=crop&w=1200&q=80
Haven,Hack Club,tech,Build,1 weekend,Local,"Join a worldwide high-school game jam happening across 200+ cities on November 14–15 to make games, team up with friends, and win prizes.",Open to all high-schoolers,Global,2026-11-15,https://haven.hackclub.com,,
Atlantis,Hack Club,tech,Build,8 weeks,Online,"Log 5 hours of CAD modeling each week to design 3D parts and mechanisms, and Hack Club will ship you a free 3D printer.",Open to all high-schoolers,Global,2026-11-16,https://atlantis.hackclub.com,yes,https://images.unsplash.com/photo-1581092160607-ee22621dd758?auto=format&fit=crop&w=1200&q=80
Snowglobe,Hack Club,tech,Build,50 hours,Local,"Code 50 hours on passion projects to earn a travel grant and flight to San Francisco for the largest all-girls high school hackathon.",Selective,Global,2026-11-22,https://snowglobe.hackclub.com/,yes,https://images.unsplash.com/photo-1501594907352-04cda38ebc29?auto=format&fit=crop&w=1200&q=80
Forge,Hack Club,tech,Build,1 month,Online,"Design custom electronics, PCBs, or hardware projects with grant funding and mentorship from Hack Club to cover parts and fabrication.",Open to all high-schoolers,Global,2026-11-30,https://forge.hackclub.com,yes,https://images.unsplash.com/photo-1518770660439-4636190af475?auto=format&fit=crop&w=1200&q=80
Hackcraft Mod Edition,Hack Club,tech,Build,2 weeks,Online,"Create your own custom Minecraft mod using Java, learn game modding fundamentals, and earn a free copy of Minecraft plus server hosting.",Open to all high-schoolers,Global,2026-12-31,https://hackcraft.hackclub.com,,
Girton College Humanities Writing Competition - Ancient History,Girton College,AncientHistory,Write,3 months,Online,"1,800 words. Limited to 3 entries per school.",Open to all sixth formers,Global,2027-03-20,https://koioseducation.com/academic-competitions/,,
Girton College Humanities Writing Competition - Archaeology,Girton College,Archaeology,Write,3 months,Online,"1,800 words. Limited to 3 entries per school.",Open to all sixth formers,Global,2027-03-20,https://koioseducation.com/academic-competitions/,,
Girton College Humanities Writing Competition - Classics,Girton College,Classics,Write,3 months,Online,"1,800 words. Limited to 3 entries per school.",Open to all sixth formers,Global,2027-03-20,https://koioseducation.com/academic-competitions/,,
Girton College Humanities Writing Competition - English,Girton College,English,Write,3 months,Online,"1,800 words. Limited to 3 entries per school.",Open to all sixth formers,Global,2027-03-20,https://koioseducation.com/academic-competitions/,,
Girton College Humanities Writing Competition - History,Girton College,History,Write,3 months,Online,"1,800 words. Limited to 3 entries per school.",Open to all sixth formers,Global,2027-03-20,https://koioseducation.com/academic-competitions/,,
Girton College Humanities Writing Competition - Sociology,Girton College,Sociology,Write,3 months,Online,"1,800 words. Limited to 3 entries per school.",Open to all sixth formers,Global,2027-03-20,https://koioseducation.com/academic-competitions/,,
Girton College Humanities Writing Competition - Theology,Girton College,Theology,Write,3 months,Online,"1,800 words. Limited to 3 entries per school.",Open to all sixth formers,Global,2027-03-20,https://koioseducation.com/academic-competitions/,,
UK Centre for Animal Law Annual Essay Competition,UK Centre for Animal Law,Law,Write,1 month,Online,"1,500 words. Open to all students.",Open to all sixth formers,Global,2027-03-28,https://koioseducation.com/academic-competitions/,,
Trinity College Cambridge Robert Walker Prize,Trinity College,Law,Write,1 month,Online,"2,000 words. £300 prize.",Open to all sixth formers,Global,2027-04-02,https://koioseducation.com/academic-competitions/,,
Peterhouse Cambridge Kelvin Biological Sciences Essay Competition,Peterhouse,Biology,Write,1 month,Online,"2,000 words. Max 4 entries per school.",Open to all sixth formers,UK-only,2027-04-20,https://koioseducation.com/academic-competitions/,,
Royal Institute of Philosophy Think Essay Prize,Royal Institute of Philosophy,Philosophy,Write,1 month,Online,"1,200 words. For students aged 15–18.",Open to all sixth formers,Global,2027-04-20,https://koioseducation.com/academic-competitions/,,
Magdalene College Cambridge Armstrong Arts & Humanities Essay Competition - English,Magdalene College,English,Write,1 month,Online,"2,000 words. For UK state school students.",Open to all sixth formers,UK-only,2027-04-26,https://koioseducation.com/academic-competitions/,,
Magdalene College Cambridge Armstrong Arts & Humanities Essay Competition - History,Magdalene College,History,Write,1 month,Online,"2,000 words. For UK state school students.",Open to all sixth formers,UK-only,2027-04-26,https://koioseducation.com/academic-competitions/,,
Magdalene College Cambridge Armstrong Arts & Humanities Essay Competition - Philosophy,Magdalene College,Philosophy,Write,1 month,Online,"2,000 words. For UK state school students.",Open to all sixth formers,UK-only,2027-04-26,https://koioseducation.com/academic-competitions/,,
Magdalene College Cambridge Armstrong Arts & Humanities Essay Competition - Politics,Magdalene College,Politics,Write,1 month,Online,"2,000 words. For UK state school students.",Open to all sixth formers,UK-only,2027-04-26,https://koioseducation.com/academic-competitions/,,
Magdalene College Cambridge Armstrong Arts & Humanities Essay Competition - Geography,Magdalene College,Geography,Write,1 month,Online,"2,000 words. For UK state school students.",Open to all sixth formers,UK-only,2027-04-26,https://koioseducation.com/academic-competitions/,,
Magdalene College Cambridge Armstrong Arts & Humanities Essay Competition - Classics,Magdalene College,Classics,Write,1 month,Online,"2,000 words. For UK state school students.",Open to all sixth formers,UK-only,2027-04-26,https://koioseducation.com/academic-competitions/,,
Magdalene College Cambridge Armstrong Arts & Humanities Essay Competition - Law,Magdalene College,Law,Write,1 month,Online,"2,000 words. For UK state school students.",Open to all sixth formers,UK-only,2027-04-26,https://koioseducation.com/academic-competitions/,,
St Edmund Hall Oxford Big Think Competition - Biology,St Edmund Hall,Biology,Compete,1 month,Online,"Video response competition for UK state school students in Years 11–13.",Open to all sixth formers,UK-only,2027-04-27,https://koioseducation.com/academic-competitions/,,
St Edmund Hall Oxford Big Think Competition - Chemistry,St Edmund Hall,Chemistry,Compete,1 month,Online,"Video response competition for UK state school students in Years 11–13.",Open to all sixth formers,UK-only,2027-04-27,https://koioseducation.com/academic-competitions/,,
St Edmund Hall Oxford Big Think Competition - Computer Science,St Edmund Hall,ComputerScience,Compete,1 month,Online,"Video response competition for UK state school students in Years 11–13.",Open to all sixth formers,UK-only,2027-04-27,https://koioseducation.com/academic-competitions/,,
St Edmund Hall Oxford Big Think Competition - Economics,St Edmund Hall,Economics,Compete,1 month,Online,"Video response competition for UK state school students in Years 11–13.",Open to all sixth formers,UK-only,2027-04-27,https://koioseducation.com/academic-competitions/,,
St Edmund Hall Oxford Big Think Competition - Engineering,St Edmund Hall,Engineering,Compete,1 month,Online,"Video response competition for UK state school students in Years 11–13.",Open to all sixth formers,UK-only,2027-04-27,https://koioseducation.com/academic-competitions/,,
St Edmund Hall Oxford Big Think Competition - English,St Edmund Hall,English,Compete,1 month,Online,"Video response competition for UK state school students in Years 11–13.",Open to all sixth formers,UK-only,2027-04-27,https://koioseducation.com/academic-competitions/,,
St Edmund Hall Oxford Big Think Competition - Geography,St Edmund Hall,Geography,Compete,1 month,Online,"Video response competition for UK state school students in Years 11–13.",Open to all sixth formers,UK-only,2027-04-27,https://koioseducation.com/academic-competitions/,,
St Edmund Hall Oxford Big Think Competition - History,St Edmund Hall,History,Compete,1 month,Online,"Video response competition for UK state school students in Years 11–13.",Open to all sixth formers,UK-only,2027-04-27,https://koioseducation.com/academic-competitions/,,
St Edmund Hall Oxford Big Think Competition - Law,St Edmund Hall,Law,Compete,1 month,Online,"Video response competition for UK state school students in Years 11–13.",Open to all sixth formers,UK-only,2027-04-27,https://koioseducation.com/academic-competitions/,,
St Edmund Hall Oxford Big Think Competition - Mathematics,St Edmund Hall,Maths,Compete,1 month,Online,"Video response competition for UK state school students in Years 11–13.",Open to all sixth formers,UK-only,2027-04-27,https://koioseducation.com/academic-competitions/,,
St Edmund Hall Oxford Big Think Competition - Physics,St Edmund Hall,Physics,Compete,1 month,Online,"Video response competition for UK state school students in Years 11–13.",Open to all sixth formers,UK-only,2027-04-27,https://koioseducation.com/academic-competitions/,,
St Edmund Hall Oxford Big Think Competition - Politics,St Edmund Hall,Politics,Compete,1 month,Online,"Video response competition for UK state school students in Years 11–13.",Open to all sixth formers,UK-only,2027-04-27,https://koioseducation.com/academic-competitions/,,
St Edmund Hall Oxford Big Think Competition - Psychology,St Edmund Hall,Psychology,Compete,1 month,Online,"Video response competition for UK state school students in Years 11–13.",Open to all sixth formers,UK-only,2027-04-27,https://koioseducation.com/academic-competitions/,,
Cambridge Re:Think Essay Competition - Humanities,Cambridge,Humanities,Write,1 month,Online,"2,000 words. For students aged 14–18.",Open to all sixth formers,Global,2027-05-10,https://koioseducation.com/academic-competitions/,,
Cambridge Re:Think Essay Competition - STEM,Cambridge,STEM,Write,1 month,Online,"2,000 words. For students aged 14–18.",Open to all sixth formers,Global,2027-05-10,https://koioseducation.com/academic-competitions/,,
John Locke Institute Global Essay Prize - Economics,John Locke Institute,Economics,Write,1 month,Online,"2,000 words. Requires advance registration.",Open to all sixth formers,Global,2027-05-31,https://koioseducation.com/academic-competitions/,,
John Locke Institute Global Essay Prize - History,John Locke Institute,History,Write,1 month,Online,"2,000 words. Requires advance registration.",Open to all sixth formers,Global,2027-05-31,https://koioseducation.com/academic-competitions/,,
John Locke Institute Global Essay Prize - International Relations,John Locke Institute,InternationalRelations,Write,1 month,Online,"2,000 words. Requires advance registration.",Open to all sixth formers,Global,2027-05-31,https://koioseducation.com/academic-competitions/,,
John Locke Institute Global Essay Prize - Law,John Locke Institute,Law,Write,1 month,Online,"2,000 words. Requires advance registration.",Open to all sixth formers,Global,2027-05-31,https://koioseducation.com/academic-competitions/,,
John Locke Institute Global Essay Prize - Philosophy,John Locke Institute,Philosophy,Write,1 month,Online,"2,000 words. Requires advance registration.",Open to all sixth formers,Global,2027-05-31,https://koioseducation.com/academic-competitions/,,
John Locke Institute Global Essay Prize - Politics,John Locke Institute,Politics,Write,1 month,Online,"2,000 words. Requires advance registration.",Open to all sixth formers,Global,2027-05-31,https://koioseducation.com/academic-competitions/,,
John Locke Institute Global Essay Prize - Psychology,John Locke Institute,Psychology,Write,1 month,Online,"2,000 words. Requires advance registration.",Open to all sixth formers,Global,2027-05-31,https://koioseducation.com/academic-competitions/,,
John Locke Institute Global Essay Prize - Science,John Locke Institute,Science,Write,1 month,Online,"2,000 words. Requires advance registration.",Open to all sixth formers,Global,2027-05-31,https://koioseducation.com/academic-competitions/,,
John Locke Institute Global Essay Prize - Theology,John Locke Institute,Theology,Write,1 month,Online,"2,000 words. Requires advance registration.",Open to all sixth formers,Global,2027-05-31,https://koioseducation.com/academic-competitions/,,
Newnham College Cambridge Woolf Essay Prize - English,Newnham College,English,Write,1 month,Online,"1,500–2,500 words. For Year 12 female students.",Open to all sixth formers,Global,2027-06-08,https://koioseducation.com/academic-competitions/,,
Newnham College Cambridge Woolf Essay Prize - History,Newnham College,History,Write,1 month,Online,"1,500–2,500 words. For Year 12 female students.",Open to all sixth formers,Global,2027-06-08,https://koioseducation.com/academic-competitions/,,
Newnham College Cambridge Woolf Essay Prize - Politics,Newnham College,Politics,Write,1 month,Online,"1,500–2,500 words. For Year 12 female students.",Open to all sixth formers,Global,2027-06-08,https://koioseducation.com/academic-competitions/,,
Newnham College Cambridge Woolf Essay Prize - Philosophy,Newnham College,Philosophy,Write,1 month,Online,"1,500–2,500 words. For Year 12 female students.",Open to all sixth formers,Global,2027-06-08,https://koioseducation.com/academic-competitions/,,
Newnham College Cambridge Woolf Essay Prize - Sociology,Newnham College,Sociology,Write,1 month,Online,"1,500–2,500 words. For Year 12 female students.",Open to all sixth formers,Global,2027-06-08,https://koioseducation.com/academic-competitions/,,
FCDO Next Generation Economics Competition,FCDO,Economics,Write,1 month,Online,"Letter (1,000 words max). For UK students aged 14–18.",Open to all sixth formers,UK-only,2027-06-28,https://koioseducation.com/academic-competitions/,,
FCDO Next Generation Economics Competition,FCDO,Geography,Write,1 month,Online,"Letter (1,000 words max). For UK students aged 14–18.",Open to all sixth formers,UK-only,2027-06-28,https://koioseducation.com/academic-competitions/,,
FCDO Next Generation Economics Competition,FCDO,History,Write,1 month,Online,"Letter (1,000 words max). For UK students aged 14–18.",Open to all sixth formers,UK-only,2027-06-28,https://koioseducation.com/academic-competitions/,,
Queens’ College Cambridge Estelle Prize,Queens’ College,English,Write,1 month,Online,"2,500 words. For Year 12 students.",Open to all sixth formers,Global,2027-07-03,https://koioseducation.com/academic-competitions/,,
Trinity College Cambridge Gould Prize for English Literature,Trinity College,English,Write,1 month,Online,"1,500–2,500 words. For Year 12 students.",Open to all sixth formers,Global,2027-07-31,https://koioseducation.com/academic-competitions/,,
Trinity College Cambridge Languages and Cultures Prize - Linguistics,Trinity College,Linguistics,Write,1 month,Online,"Up to 3,000 words. For Year 12 students.",Open to all sixth formers,Global,2027-07-31,https://koioseducation.com/academic-competitions/,,
Trinity College Cambridge Languages and Cultures Prize - English,Trinity College,English,Write,1 month,Online,"Up to 3,000 words. For Year 12 students.",Open to all sixth formers,Global,2027-07-31,https://koioseducation.com/academic-competitions/,,
Trinity College Cambridge Languages and Cultures Prize - Comparative Literature,Trinity College,ComparativeLiterature,Write,1 month,Online,"Up to 3,000 words. For Year 12 students.",Open to all sixth formers,Global,2027-07-31,https://koioseducation.com/academic-competitions/,,
Trinity College Cambridge R.A. Butler Politics Prize,Trinity College,Politics,Write,1 month,Online,"Up to 3,000 words. For Year 12 students.",Open to all sixth formers,Global,2027-07-31,https://koioseducation.com/academic-competitions/,,
Trinity College Cambridge Robert Robson History Prize - History,Trinity College,History,Write,1 month,Online,"Up to 3,000 words. For Year 12 students.",Open to all sixth formers,Global,2027-07-31,https://koioseducation.com/academic-competitions/,,
Trinity College Cambridge Robert Robson History Prize - Politics,Trinity College,Politics,Write,1 month,Online,"Up to 3,000 words. For Year 12 students.",Open to all sixth formers,Global,2027-07-31,https://koioseducation.com/academic-competitions/,,
Minds Underground Architecture Essay Competition,Minds Underground,Architecture,Write,1 month,Online,"For Year 10–13 students. Word limit varies by subject.",Open to all sixth formers,Global,2027-12-31,https://www.mindsunderground.com/minds-underground-competitions,,
Minds Underground Classics Essay Competition,Minds Underground,Classics,Write,1 month,Online,"For Year 10–13 students.",Open to all sixth formers,Global,2027-12-31,https://www.mindsunderground.com/minds-underground-competitions,,
Minds Underground Dentistry Essay Competition,Minds Underground,Dentistry,Write,1 month,Online,"For Year 10–13 students.",Open to all sixth formers,Global,2027-12-31,https://www.mindsunderground.com/minds-underground-competitions,,
Minds Underground Economics Essay Competition,Minds Underground,Economics,Write,1 month,Online,"For Year 10–13 students.",Open to all sixth formers,Global,2027-12-31,https://www.mindsunderground.com/minds-underground-competitions,,
Minds Underground Engineering Innovation Challenge,Minds Underground,Engineering,Compete,1 month,Online,"Design a wearable. For Year 10–13 students.",Open to all sixth formers,Global,2027-12-31,https://www.mindsunderground,,
title,org,type,tag,time,mode,description,audience,region,deadline,url,featured,image
Sprig,Hack Club,tech,Build,1 weekend,Online,"Build a tile-based game in JavaScript using the Sprig web editor, and Hack Club will ship you a custom handheld console to play it on.",Open to all high-schoolers,Global,,https://sprig.hackclub.com,yes,https://images.unsplash.com/photo-1550745165-9bc0b252726f?auto=format&fit=crop&w=1200&q=80
Boba Drops,Hack Club,tech,Make,1 afternoon,Online,"Build and publish your first personal website or portfolio, share what you made, and get $5 for a celebratory boba tea.",Open to all high-schoolers,Global,,https://boba.hackclub.com,,
Hack Club Clubs,Hack Club,community,Connect,All year,Local,"Start or lead a coding club at your high school with free curriculum, $500 in startup hardware grants, domains, and stickers for your members.",Open to all high-schoolers,Global,,https://clubs.hackclub.com/,,
